,1. open,2. high,3. low,4. close
2025-05-01,0.88220,0.88730,0.88160,0.88540
2025-04-30,0.87800,0.88320,0.87700,0.88230
2025-04-29,0.87530,0.87910,0.87520,0.87780
2025-04-28,0.87970,0.88220,0.87500,0.87520
2025-04-25,0.87780,0.88330,0.87770,0.87960
2025-04-24,0.88270,0.88300,0.87710,0.87790
2025-04-23,0.88000,0.88410,0.87390,0.88290
2025-04-22,0.86830,0.87940,0.86580,0.87940
2025-04-21,0.87660,0.87720,0.86390,0.86840
2025-04-18,0.87930,0.88000,0.87710,0.87750
2025-04-17,0.87700,0.88150,0.87630,0.87920
2025-04-16,0.88590,0.88590,0.87600,0.87710
2025-04-15,0.88010,0.88740,0.87880,0.88610
2025-04-14,0.88290,0.88490,0.87530,0.88010
2025-04-11,0.89250,0.89270,0.87160,0.88000
2025-04-10,0.91270,0.91360,0.88940,0.89250
2025-04-09,0.91240,0.91540,0.90120,0.91290
2025-04-08,0.91600,0.91780,0.90960,0.91250
2025-04-07,0.91560,0.91700,0.90510,0.91610
2025-04-04,0.90470,0.91500,0.90010,0.91220
2025-04-03,0.92290,0.92500,0.89780,0.90470
2025-04-02,0.92630,0.92720,0.91620,0.92310
2025-04-01,0.92410,0.92750,0.92310,0.92610
2025-03-31,0.92420,0.92700,0.92160,0.92400
2025-03-28,0.92580,0.92860,0.92190,0.92330
2025-03-27,0.93080,0.93140,0.92400,0.92570
2025-03-26,0.92640,0.93100,0.92550,0.93070
2025-03-25,0.92550,0.92750,0.92310,0.92640
2025-03-24,0.92370,0.92720,0.92080,0.92570
2025-03-21,0.92090,0.92550,0.92060,0.92410
2025-03-20,0.91670,0.92420,0.91570,0.92090
2025-03-19,0.91340,0.92030,0.91310,0.91680
2025-03-18,0.91530,0.91770,0.91260,0.91340
2025-03-17,0.91900,0.91970,0.91490,0.91530
2025-03-14,0.92100,0.92300,0.91630,0.91900
2025-03-13,0.91810,0.92370,0.91740,0.92110
2025-03-12,0.91620,0.91910,0.91470,0.91820
2025-03-11,0.92260,0.92280,0.91320,0.91620
2025-03-10,0.92240,0.92520,0.91950,0.92260
2025-03-07,0.92660,0.92730,0.91830,0.92280
2025-03-06,0.92660,0.92840,0.92140,0.92700
2025-03-05,0.94120,0.94290,0.92600,0.92660
2025-03-04,0.95300,0.95470,0.94070,0.94080
2025-03-03,0.96100,0.96220,0.95220,0.95340
2025-02-28,0.96140,0.96500,0.95940,0.96370
2025-02-27,0.95350,0.96150,0.95280,0.96140
2025-02-26,0.95100,0.95440,0.94990,0.95350
2025-02-25,0.95460,0.95600,0.95040,0.95080
2025-02-24,0.95500,0.95640,0.94960,0.95500
2025-02-21,0.95230,0.95670,0.95170,0.95550
2025-02-20,0.95880,0.95950,0.95180,0.95200
2025-02-19,0.95710,0.96120,0.95560,0.95910
2025-02-18,0.95440,0.95790,0.95300,0.95710
2025-02-17,0.95330,0.95510,0.95160,0.95360
2025-02-14,0.95540,0.95690,0.95090,0.95280
2025-02-13,0.96290,0.96330,0.95520,0.95540
2025-02-12,0.96270,0.96890,0.95860,0.96290
2025-02-11,0.97010,0.97130,0.96400,0.96490
2025-02-10,0.97100,0.97140,0.96730,0.97000
2025-02-07,0.96270,0.96990,0.96130,0.96790
2025-02-06,0.96100,0.96550,0.96070,0.96290
2025-02-05,0.96370,0.96400,0.95780,0.96110
2025-02-04,0.96600,0.97280,0.96250,0.96330
2025-02-03,0.97720,0.97890,0.96600,0.96660
2025-01-31,0.96180,0.96580,0.95830,0.96500
2025-01-30,0.95960,0.96240,0.95540,0.96200
2025-01-29,0.95870,0.96280,0.95730,0.95960
2025-01-28,0.95290,0.95990,0.95270,0.95850
2025-01-27,0.95370,0.95630,0.94920,0.95290
2025-01-24,0.96010,0.96010,0.95030,0.95250
2025-01-23,0.95970,0.96360,0.95780,0.95990
2025-01-22,0.95840,0.96170,0.95610,0.96040
2025-01-21,0.96000,0.96530,0.95820,0.96240
2025-01-20,0.97290,0.97370,0.95830,0.95970
2025-01-17,0.97090,0.97390,0.96780,0.97350
2025-01-16,0.97090,0.97400,0.96920,0.97040
2025-01-15,0.97020,0.97370,0.96600,0.97160
2025-01-14,0.97640,0.97650,0.96980,0.96990
2025-01-13,0.97680,0.98210,0.97540,0.97610
2025-01-10,0.97020,0.97820,0.96950,0.97580
2025-01-09,0.96920,0.97200,0.96860,0.97070
2025-01-08,0.96650,0.97290,0.96520,0.96890
2025-01-07,0.96220,0.96680,0.95820,0.96680
2025-01-06,0.97020,0.97100,0.95810,0.96220
2025-01-03,0.97410,0.97430,0.96970,0.96980
2025-01-02,0.96540,0.97680,0.96360,0.97370
2025-01-01,0.96630,0.96640,0.96470,0.96540
2024-12-31,0.96050,0.96650,0.95900,0.96560
2024-12-30,0.95870,0.96360,0.95600,0.96070
2024-12-27,0.95900,0.96070,0.95730,0.95890
2024-12-26,0.96020,0.96210,0.95850,0.95920
2024-12-25,0.96210,0.96220,0.95990,0.96120
2024-12-24,0.96060,0.96280,0.96040,0.96140
2024-12-23,0.95840,0.96270,0.95690,0.96070
2024-12-20,0.96500,0.96640,0.95700,0.95860
2024-12-19,0.96560,0.96650,0.95920,0.96470
2024-12-18,0.95290,0.96620,0.95100,0.96600
2024-12-17,0.95100,0.95400,0.94930,0.95290
2024-12-16,0.95330,0.95420,0.95010,0.95110
2024-12-13,0.95500,0.95630,0.95020,0.95180
2024-12-12,0.95250,0.95530,0.94940,0.95520
2024-12-11,0.94960,0.95390,0.94860,0.95250
2024-12-10,0.94730,0.95220,0.94600,0.94970
2024-12-09,0.94690,0.94920,0.94370,0.94730
2024-12-06,0.94430,0.94830,0.94080,0.94610
2024-12-05,0.95100,0.95140,0.94410,0.94420
2024-12-04,0.95120,0.95450,0.94830,0.95120
2024-12-03,0.95240,0.95380,0.94910,0.95130
2024-12-02,0.94570,0.95560,0.94540,0.95220
2024-11-29,0.94720,0.94830,0.94360,0.94510
2024-11-28,0.94630,0.94960,0.94580,0.94730
2024-11-27,0.95310,0.95450,0.94430,0.94610
2024-11-26,0.95250,0.95870,0.94810,0.95310
2024-11-25,0.95410,0.95670,0.94940,0.95250
2024-11-22,0.95450,0.96690,0.95240,0.95970
2024-11-21,0.94830,0.95550,0.94720,0.95450
2024-11-20,0.94370,0.95140,0.94230,0.94820
2024-11-19,0.94300,0.94970,0.94290,0.94350
2024-11-18,0.94900,0.94950,0.94250,0.94330
2024-11-15,0.94930,0.95050,0.94420,0.94860
2024-11-14,0.94630,0.95210,0.94490,0.94950
2024-11-13,0.94140,0.94700,0.93860,0.94640
2024-11-12,0.93830,0.94360,0.93740,0.94110
2024-11-11,0.93330,0.94030,0.93190,0.93830
2024-11-08,0.92540,0.93540,0.92510,0.93260
2024-11-07,0.93160,0.93320,0.92340,0.92540
2024-11-06,0.91460,0.93580,0.91410,0.93180
2024-11-05,0.91900,0.91950,0.91410,0.91470
2024-11-04,0.91890,0.91970,0.91600,0.91900
2024-11-01,0.91870,0.92300,0.91680,0.92220
2024-10-31,0.92080,0.92190,0.91820,0.91860
2024-10-30,0.92430,0.92480,0.91960,0.92090
2024-10-29,0.92450,0.92830,0.92340,0.92450
2024-10-28,0.92680,0.92720,0.92340,0.92450
2024-10-25,0.92330,0.92630,0.92230,0.92570
2024-10-24,0.92690,0.92820,0.92280,0.92330
2024-10-23,0.92590,0.92890,0.92510,0.92710
2024-10-22,0.92440,0.92630,0.92250,0.92570
2024-10-21,0.92020,0.92470,0.91960,0.92430
2024-10-18,0.92300,0.92350,0.91970,0.92000
2024-10-17,0.92020,0.92460,0.91990,0.92280
2024-10-16,0.91800,0.92110,0.91720,0.92020
2024-10-15,0.91660,0.91870,0.91580,0.91780
2024-10-14,0.91440,0.91800,0.91410,0.91650
2024-10-11,0.91420,0.91500,0.91270,0.91400
2024-10-10,0.91370,0.91710,0.91300,0.91430
2024-10-09,0.91030,0.91410,0.91030,0.91370
2024-10-08,0.91090,0.91190,0.90910,0.91060
2024-10-07,0.91130,0.91250,0.90990,0.91090
2024-10-04,0.90620,0.91290,0.90560,0.91140
2024-10-03,0.90470,0.90810,0.90470,0.90610
2024-10-02,0.90310,0.90610,0.90210,0.90490
2024-10-01,0.89780,0.90500,0.89710,0.90310
2024-09-30,0.89550,0.89940,0.89190,0.89790
2024-09-27,0.89460,0.89860,0.89240,0.89540
2024-09-26,0.89800,0.89850,0.89350,0.89450
2024-09-25,0.89420,0.89880,0.89160,0.89800
2024-09-24,0.89960,0.90040,0.89410,0.89430
2024-09-23,0.89570,0.90190,0.89520,0.89970
2024-09-20,0.89570,0.89770,0.89410,0.89560
2024-09-19,0.89900,0.90300,0.89430,0.89560
2024-09-18,0.89940,0.90090,0.89360,0.89920
2024-09-17,0.89810,0.89970,0.89690,0.89940
2024-09-16,0.90230,0.90250,0.89780,0.89800
2024-09-13,0.90270,0.90300,0.90060,0.90260
2024-09-12,0.90760,0.90830,0.90260,0.90280
2024-09-11,0.90710,0.90860,0.90440,0.90770
2024-09-10,0.90590,0.90760,0.90480,0.90720
2024-09-09,0.90190,0.90600,0.90140,0.90580
2024-09-06,0.89980,0.90330,0.89650,0.90180
2024-09-05,0.90190,0.90270,0.89910,0.89990
2024-09-04,0.90540,0.90550,0.90110,0.90200
2024-09-03,0.90290,0.90660,0.90290,0.90540
2024-09-02,0.90490,0.90540,0.90250,0.90300
2024-08-30,0.90240,0.90520,0.90110,0.90470
2024-08-29,0.89900,0.90420,0.89740,0.90240
2024-08-28,0.89380,0.90020,0.89370,0.89900
2024-08-27,0.89570,0.89650,0.89330,0.89380
2024-08-26,0.89320,0.89640,0.89250,0.89570
2024-08-23,0.89960,0.90010,0.89250,0.89330
2024-08-22,0.89640,0.90070,0.89590,0.89960
2024-08-21,0.89840,0.90050,0.89470,0.89660
2024-08-20,0.90170,0.90290,0.89820,0.89820
2024-08-19,0.90640,0.90690,0.90160,0.90200
2024-08-16,0.91120,0.91120,0.90640,0.90650
2024-08-15,0.90780,0.91290,0.90750,0.91120
2024-08-14,0.90930,0.90990,0.90670,0.90670
2024-08-13,0.91440,0.91590,0.90890,0.90950
2024-08-12,0.91580,0.91630,0.91390,0.91460
2024-08-09,0.91580,0.91640,0.91460,0.91600
2024-08-08,0.91520,0.91860,0.91340,0.91570
2024-08-07,0.91450,0.91660,0.91420,0.91520
2024-08-06,0.91280,0.91680,0.91190,0.91480
2024-08-05,0.91540,0.91770,0.90830,0.91270
2024-08-02,0.92640,0.92720,0.91500,0.91630
2024-08-01,0.92340,0.92750,0.92270,0.92640
2024-07-31,0.92450,0.92530,0.92150,0.92330
2024-07-30,0.92370,0.92570,0.92260,0.92450
2024-07-29,0.92100,0.92540,0.91970,0.92370
2024-07-26,0.92190,0.92200,0.91990,0.92100
2024-07-25,0.92230,0.92320,0.91980,0.92160
2024-07-24,0.92130,0.92340,0.92000,0.92220
2024-07-23,0.91790,0.92190,0.91750,0.92100
2024-07-22,0.91820,0.91940,0.91690,0.91800
2024-07-19,0.91740,0.91920,0.91700,0.91860
2024-07-18,0.91390,0.91770,0.91370,0.91740
2024-07-17,0.91720,0.91760,0.91320,0.91390
2024-07-16,0.91740,0.91950,0.91680,0.91720
2024-07-15,0.91780,0.91860,0.91540,0.91750
2024-07-12,0.92010,0.92040,0.91620,0.91660
2024-07-11,0.92310,0.92310,0.91730,0.91990
2024-07-10,0.92450,0.92470,0.92310,0.92310
2024-07-09,0.92350,0.92520,0.92280,0.92440
2024-07-08,0.92390,0.92440,0.92180,0.92340
2024-07-05,0.92460,0.92490,0.92200,0.92220
2024-07-04,0.92670,0.92710,0.92440,0.92470
2024-07-03,0.93020,0.93120,0.92430,0.92690
2024-07-02,0.93100,0.93340,0.92970,0.93030
2024-07-01,0.93090,0.93250,0.92770,0.93100
2024-06-28,0.93400,0.93560,0.93220,0.93320
2024-06-27,0.93600,0.93630,0.93200,0.93380
2024-06-26,0.93310,0.93730,0.93280,0.93610
2024-06-25,0.93140,0.93520,0.93040,0.93320
2024-06-24,0.93490,0.93570,0.93020,0.93140
2024-06-21,0.93400,0.93680,0.93250,0.93480
2024-06-20,0.93040,0.93440,0.93010,0.93400
2024-06-19,0.93080,0.93210,0.92970,0.93040
2024-06-18,0.93140,0.93340,0.92900,0.93070
2024-06-17,0.93390,0.93540,0.93110,0.93140
2024-06-14,0.93090,0.93710,0.93050,0.93380
2024-06-13,0.92470,0.93140,0.92430,0.93080
2024-06-12,0.93070,0.93130,0.92130,0.92470
2024-06-11,0.92880,0.93260,0.92790,0.93060
2024-06-10,0.92780,0.93140,0.92730,0.92860
2024-06-07,0.91800,0.92570,0.91710,0.92560
2024-06-06,0.91970,0.92030,0.91730,0.91790
2024-06-05,0.91900,0.92100,0.91810,0.91960
2024-06-04,0.91650,0.92050,0.91590,0.91890
2024-06-03,0.92140,0.92330,0.91660,0.91700
2024-05-31,0.92290,0.92470,0.91870,0.92130
2024-05-30,0.92550,0.92670,0.92180,0.92280
2024-05-29,0.92060,0.92570,0.92060,0.92530
2024-05-28,0.92060,0.92100,0.91810,0.92050
2024-05-27,0.92140,0.92210,0.92000,0.92080
2024-05-24,0.92440,0.92520,0.92070,0.92170
2024-05-23,0.92350,0.92530,0.92050,0.92440
2024-05-22,0.92100,0.92410,0.92030,0.92370
2024-05-21,0.92060,0.92180,0.91940,0.92090
2024-05-20,0.91970,0.92100,0.91850,0.92070
2024-05-17,0.91980,0.92260,0.91910,0.91980
2024-05-16,0.91830,0.92090,0.91770,0.91990
2024-05-15,0.92410,0.92450,0.91810,0.91860
2024-05-14,0.92650,0.92830,0.92350,0.92410
2024-05-13,0.92810,0.92860,0.92510,0.92670
2024-05-10,0.92710,0.92900,0.92660,0.92830
2024-05-09,0.93000,0.93210,0.92690,0.92730
2024-05-08,0.92960,0.93120,0.92940,0.93010
2024-05-07,0.92820,0.93020,0.92680,0.92950
2024-05-06,0.92890,0.92950,0.92650,0.92830
2024-05-03,0.93180,0.93220,0.92480,0.92880
2024-05-02,0.93290,0.93650,0.93110,0.93210
