type,id,url,twitterUrl,text,source,retweetCount,replyCount,likeCount,quoteCount,viewCount,createdAt,lang,bookmarkCount,isReply,inReplyToId,conversationId,inReplyToUserId,inReplyToUsername,author,extendedEntities,card,place,entities,quoted_tweet,retweeted_tweet
tweet,1917726279195058338,https://x.com/elonmusk/status/1917726279195058338,https://twitter.com/elonmusk/status/1917726279195058338,https://t.co/U6tI9pdin6,Twitter for iPhone,17246,5906,111556,801,30699195,Wed Apr 30 23:42:29 +0000 2025,zxx,5370,False,,1917726279195058338,,,"{""type"": ""user"", ""userName"": ""elonmusk"", ""url"": ""https://x.com/elonmusk"", ""twitterUrl"": ""https://twitter.com/elonmusk"", ""id"": ""44196397"", ""name"": ""Elon Musk"", ""isVerified"": false, ""isBlueVerified"": true, ""profilePicture"": ""https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg"", ""coverPicture"": ""https://pbs.twimg.com/profile_banners/44196397/1739948056"", ""description"": """", ""location"": """", ""followers"": 219952743, ""following"": 1115, ""status"": """", ""canDm"": false, ""canMediaTag"": false, ""createdAt"": ""Tue Jun 02 20:12:29 +0000 2009"", ""entities"": {""description"": {""urls"": []}, ""url"": {}}, ""fastFollowersCount"": 0, ""favouritesCount"": 143653, ""hasCustomTimelines"": true, ""isTranslator"": false, ""mediaCount"": 3813, ""statusesCount"": 77787, ""withheldInCountries"": [], ""affiliatesHighlightedLabel"": {}, ""possiblySensitive"": false, ""pinnedTweetIds"": [""1917099777327829386""], ""profile_bio"": {""description"": """", ""entities"": {""description"": {}}}, ""isAutomated"": false, ""automatedBy"": null}","{""media"": [{""additional_media_info"": {""monetizable"": false, ""source_user"": {""user_results"": {""rest_id"": ""191871143"", ""result"": {""__typename"": ""User"", ""action_counts"": {""favorites_count"": 33230}, ""avatar"": {""image_url"": ""https://pbs.twimg.com/profile_images/1863608157525696512/D4dr-CAV_normal.jpg""}, ""banner"": {""image_url"": ""https://pbs.twimg.com/profile_banners/191871143/1743311015""}, ""core"": {""created_at"": ""Fri Sep 17 15:38:32 +0000 2010"", ""name"": ""The Vigilant Fox 🦊"", ""screen_name"": ""VigilantFox""}, ""dm_permissions"": {""can_dm"": true}, ""exclusive_tweet_following"": false, ""identity_profile_labels_highlighted_label"": {}, ""location"": {""location"": ""USA""}, ""media_permissions"": {""can_media_tag"": false}, ""notifications_settings"": {}, ""pinned_items"": {""tweet_ids_str"": [""1917969651923132694""]}, ""privacy"": {}, ""private_super_following"": false, ""profile_bio"": {""description"": ""Founder of https://t.co/OVSw4ak3Dy. Writer, video clipper, and pro-freedom citizen journalist with 12 years of healthcare experience."", ""entities"": {""description"": {""urls"": [{""display_url"": ""vigilantfox.com"", ""expanded_url"": ""http://vigilantfox.com"", ""indices"": [11, 34], ""url"": ""https://t.co/OVSw4ak3Dy""}]}, ""url"": {""urls"": [{""display_url"": ""vigilantfox.com"", ""expanded_url"": ""http://vigilantfox.com"", ""indices"": [0, 23], ""url"": ""https://t.co/OVSw4ak3Dy""}]}}}, ""profile_metadata"": {""profile_interstitial_type"": """", ""profile_link_color"": ""1DA1F2""}, ""profile_translation"": {""translator_type_enum"": ""None""}, ""properties"": {""has_extended_profile"": false}, ""relationship_counts"": {""followers"": 1703153, ""following"": 2591}, ""relationship_perspectives"": {}, ""rest_id"": ""191871143"", ""super_follow_eligible"": true, ""super_followed_by"": false, ""super_following"": false, ""tweet_counts"": {""media_tweets"": 12062, ""tweets"": 31522}, ""website"": {""url"": ""https://t.co/OVSw4ak3Dy""}, ""verification"": {""is_blue_verified"": true}}}}}, ""display_url"": ""pic.twitter.com/U6tI9pdin6"", ""expanded_url"": ""https://x.com/VigilantFox/status/1917658460713312614/video/1"", ""ext_media_availability"": {""status"": ""Available""}, ""id_str"": ""1917658280723095552"", ""indices"": [0, 23], ""media_key"": ""13_1917658280723095552"", ""media_results"": {""id"": ""QXBpTWVkaWFSZXN1bHRzOgwABAoAARqc5AvPFiAAAAA="", ""result"": {""__typename"": ""ApiMedia"", ""id"": ""QXBpTWVkaWE6DAAECgABGpzkC88WIAAAAA=="", ""media_key"": ""13_1917658280723095552""}}, ""media_url_https"": ""https://pbs.twimg.com/amplify_video_thumb/1917658280723095552/img/HTCPYUsakwfLKEUr.jpg"", ""original_info"": {""focus_rects"": [], ""height"": 1080, ""width"": 1920}, ""sizes"": {""large"": {""h"": 1080, ""w"": 1920}}, ""source_status_id_str"": ""1917658460713312614"", ""source_user_id_str"": ""191871143"", ""type"": ""video"", ""url"": ""https://t.co/U6tI9pdin6"", ""video_info"": {""aspect_ratio"": [16, 9], ""duration_millis"": 57474, ""variants"": [{""content_type"": ""application/x-mpegURL"", ""url"": ""https://video.twimg.com/amplify_video/1917658280723095552/pl/f6F8lFbbgNi5t9np.m3u8?tag=16&v=2be""}, {""bitrate"": 288000, ""content_type"": ""video/mp4"", ""url"": ""https://video.twimg.com/amplify_video/1917658280723095552/vid/avc1/480x270/bGMkxMpIpnivmh97.mp4?tag=16""}, {""bitrate"": 832000, ""content_type"": ""video/mp4"", ""url"": ""https://video.twimg.com/amplify_video/1917658280723095552/vid/avc1/640x360/U0KKt5DfNpxTafY5.mp4?tag=16""}, {""bitrate"": 2176000, ""content_type"": ""video/mp4"", ""url"": ""https://video.twimg.com/amplify_video/1917658280723095552/vid/avc1/1280x720/WYhxG_ldc8q9rsvm.mp4?tag=16""}, {""bitrate"": 10368000, ""content_type"": ""video/mp4"", ""url"": ""https://video.twimg.com/amplify_video/1917658280723095552/vid/avc1/1920x1080/Wct2JMkwtYpZHCDj.mp4?tag=16""}]}}]}",,{},{},,
tweet,1917721336656384245,https://x.com/elonmusk/status/1917721336656384245,https://twitter.com/elonmusk/status/1917721336656384245,@sfliberty Exactly,Twitter for iPhone,59,100,761,7,24717,Wed Apr 30 23:22:50 +0000 2025,en,39,True,1917369878018744768,1917369864374870453,18433784,sfliberty,"{""type"": ""user"", ""userName"": ""elonmusk"", ""url"": ""https://x.com/elonmusk"", ""twitterUrl"": ""https://twitter.com/elonmusk"", ""id"": ""44196397"", ""name"": ""Elon Musk"", ""isVerified"": false, ""isBlueVerified"": true, ""profilePicture"": ""https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg"", ""coverPicture"": ""https://pbs.twimg.com/profile_banners/44196397/1739948056"", ""description"": """", ""location"": """", ""followers"": 219952743, ""following"": 1115, ""status"": """", ""canDm"": false, ""canMediaTag"": false, ""createdAt"": ""Tue Jun 02 20:12:29 +0000 2009"", ""entities"": {""description"": {""urls"": []}, ""url"": {}}, ""fastFollowersCount"": 0, ""favouritesCount"": 143653, ""hasCustomTimelines"": true, ""isTranslator"": false, ""mediaCount"": 3813, ""statusesCount"": 77787, ""withheldInCountries"": [], ""affiliatesHighlightedLabel"": {}, ""possiblySensitive"": false, ""pinnedTweetIds"": [""1917099777327829386""], ""profile_bio"": {""description"": """", ""entities"": {""description"": {}}}, ""isAutomated"": false, ""automatedBy"": null}",{},,{},"{""user_mentions"": [{""id_str"": ""18433784"", ""indices"": [0, 10], ""name"": ""Students For Liberty"", ""screen_name"": ""sfliberty""}]}",,
tweet,1917693698281787564,https://x.com/elonmusk/status/1917693698281787564,https://twitter.com/elonmusk/status/1917693698281787564,https://t.co/1c1WjFpOva,Twitter for iPhone,25024,9895,198157,1233,56010959,Wed Apr 30 21:33:01 +0000 2025,zxx,8873,False,,1917693698281787564,,,"{""type"": ""user"", ""userName"": ""elonmusk"", ""url"": ""https://x.com/elonmusk"", ""twitterUrl"": ""https://twitter.com/elonmusk"", ""id"": ""44196397"", ""name"": ""Elon Musk"", ""isVerified"": false, ""isBlueVerified"": true, ""profilePicture"": ""https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg"", ""coverPicture"": ""https://pbs.twimg.com/profile_banners/44196397/1739948056"", ""description"": """", ""location"": """", ""followers"": 219952743, ""following"": 1115, ""status"": """", ""canDm"": false, ""canMediaTag"": false, ""createdAt"": ""Tue Jun 02 20:12:29 +0000 2009"", ""entities"": {""description"": {""urls"": []}, ""url"": {}}, ""fastFollowersCount"": 0, ""favouritesCount"": 143653, ""hasCustomTimelines"": true, ""isTranslator"": false, ""mediaCount"": 3813, ""statusesCount"": 77787, ""withheldInCountries"": [], ""affiliatesHighlightedLabel"": {}, ""possiblySensitive"": false, ""pinnedTweetIds"": [""1917099777327829386""], ""profile_bio"": {""description"": """", ""entities"": {""description"": {}}}, ""isAutomated"": false, ""automatedBy"": null}","{""media"": [{""additional_media_info"": {""monetizable"": false, ""source_user"": {""user_results"": {""rest_id"": ""1108472017144201216"", ""result"": {""__typename"": ""User"", ""action_counts"": {""favorites_count"": 3424}, ""avatar"": {""image_url"": ""https://pbs.twimg.com/profile_images/1608955832288288768/zZ-B_TjY_normal.jpg""}, ""banner"": {""image_url"": ""https://pbs.twimg.com/profile_banners/1108472017144201216/1721750377""}, ""core"": {""created_at"": ""Wed Mar 20 20:54:58 +0000 2019"", ""name"": ""Trump War Room"", ""screen_name"": ""TrumpWarRoom""}, ""dm_permissions"": {""can_dm"": false}, ""exclusive_tweet_following"": false, ""identity_profile_labels_highlighted_label"": {""label"": {""badge"": {""url"": ""https://pbs.twimg.com/profile_images/745768799849308160/KrZhjkpH_bigger.jpg""}, ""description"": ""Team Trump (Text TRUMP to 88022)"", ""url"": {""url"": ""https://twitter.com/TeamTrump"", ""url_type"": ""DeepLink""}, ""user_label_type"": ""BusinessLabel"", ""user_label_display_type"": ""Badge""}}, ""location"": {""location"": ""MAGA Country""}, ""media_permissions"": {""can_media_tag"": false}, ""notifications_settings"": {}, ""pinned_items"": {}, ""privacy"": {}, ""private_super_following"": false, ""profile_bio"": {""description"": ""The official War Room account of President Donald J. Trump's political operation. This account punches back 47x harder."", ""entities"": {""description"": {}, ""url"": {""urls"": [{""display_url"": ""donaldjtrump.com"", ""expanded_url"": ""https://www.donaldjtrump.com/"", ""indices"": [0, 23], ""url"": ""https://t.co/kXQzdp6CIx""}]}}}, ""profile_image_shape"": ""Square"", ""profile_metadata"": {""profile_interstitial_type"": """", ""profile_link_color"": ""ABB8C2""}, ""profile_translation"": {""translator_type_enum"": ""None""}, ""properties"": {""has_extended_profile"": true}, ""relationship_counts"": {""followers"": 2513476, ""following"": 297}, ""relationship_perspectives"": {}, ""rest_id"": ""1108472017144201216"", ""super_follow_eligible"": false, ""super_followed_by"": false, ""super_following"": false, ""tweet_counts"": {""media_tweets"": 20525, ""tweets"": 56710}, ""website"": {""url"": ""https://t.co/kXQzdp6CIx""}, ""verification"": {""is_blue_verified"": true, ""verified_type"": ""Business""}}}}}, ""display_url"": ""pic.twitter.com/1c1WjFpOva"", ""expanded_url"": ""https://x.com/TrumpWarRoom/status/1917622693215756416/video/1"", ""ext_media_availability"": {""status"": ""Available""}, ""id_str"": ""1917622228142739456"", ""indices"": [0, 23], ""media_key"": ""13_1917622228142739456"", ""media_results"": {""id"": ""QXBpTWVkaWFSZXN1bHRzOgwABAoAARqcw0Gp11AAAAA="", ""result"": {""__typename"": ""ApiMedia"", ""id"": ""QXBpTWVkaWE6DAAECgABGpzDQanXUAAAAA=="", ""media_key"": ""13_1917622228142739456""}}, ""media_url_https"": ""https://pbs.twimg.com/amplify_video_thumb/1917622228142739456/img/c2tww6AcBPb_w6FG.jpg"", ""original_info"": {""focus_rects"": [], ""height"": 720, ""width"": 1280}, ""sizes"": {""large"": {""h"": 720, ""w"": 1280}}, ""source_status_id_str"": ""1917622693215756416"", ""source_user_id_str"": ""1108472017144201216"", ""type"": ""video"", ""url"": ""https://t.co/1c1WjFpOva"", ""video_info"": {""aspect_ratio"": [16, 9], ""duration_millis"": 16618, ""variants"": [{""content_type"": ""application/x-mpegURL"", ""url"": ""https://video.twimg.com/amplify_video/1917622228142739456/pl/cXE2u98pX8DpRKBI.m3u8?tag=16&v=e50""}, {""bitrate"": 288000, ""content_type"": ""video/mp4"", ""url"": ""https://video.twimg.com/amplify_video/1917622228142739456/vid/avc1/480x270/NSkcQSoZW717Igww.mp4?tag=16""}, {""bitrate"": 832000, ""content_type"": ""video/mp4"", ""url"": ""https://video.twimg.com/amplify_video/1917622228142739456/vid/avc1/640x360/91RNhbrSIcSiXg7M.mp4?tag=16""}, {""bitrate"": 2176000, ""content_type"": ""video/mp4"", ""url"": ""https://video.twimg.com/amplify_video/1917622228142739456/vid/avc1/1280x720/aXYCXyb_wMxymcOz.mp4?tag=16""}]}}]}",,{},{},,
tweet,1917577830889840705,https://x.com/elonmusk/status/1917577830889840705,https://twitter.com/elonmusk/status/1917577830889840705,@PeteHegseth @RobertKennedyJr You got me beat 😂,Twitter for iPhone,589,748,11610,40,185977,Wed Apr 30 13:52:36 +0000 2025,en,110,True,1917535623709155730,1917535623709155730,1518709627927633920,PeteHegseth,"{""type"": ""user"", ""userName"": ""elonmusk"", ""url"": ""https://x.com/elonmusk"", ""twitterUrl"": ""https://twitter.com/elonmusk"", ""id"": ""44196397"", ""name"": ""Elon Musk"", ""isVerified"": false, ""isBlueVerified"": true, ""profilePicture"": ""https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg"", ""coverPicture"": ""https://pbs.twimg.com/profile_banners/44196397/1739948056"", ""description"": """", ""location"": """", ""followers"": 219952743, ""following"": 1115, ""status"": """", ""canDm"": false, ""canMediaTag"": false, ""createdAt"": ""Tue Jun 02 20:12:29 +0000 2009"", ""entities"": {""description"": {""urls"": []}, ""url"": {}}, ""fastFollowersCount"": 0, ""favouritesCount"": 143653, ""hasCustomTimelines"": true, ""isTranslator"": false, ""mediaCount"": 3813, ""statusesCount"": 77787, ""withheldInCountries"": [], ""affiliatesHighlightedLabel"": {}, ""possiblySensitive"": false, ""pinnedTweetIds"": [""1917099777327829386""], ""profile_bio"": {""description"": """", ""entities"": {""description"": {}}}, ""isAutomated"": false, ""automatedBy"": null}",{},,{},"{""user_mentions"": [{""id_str"": ""1518709627927633920"", ""indices"": [0, 12], ""name"": ""Pete Hegseth"", ""screen_name"": ""PeteHegseth""}, {""id_str"": ""337808606"", ""indices"": [13, 29], ""name"": ""Robert F. Kennedy Jr"", ""screen_name"": ""RobertKennedyJr""}]}",,
tweet,1917577497790800238,https://x.com/elonmusk/status/1917577497790800238,https://twitter.com/elonmusk/status/1917577497790800238,@TheBabylonBee Must I do everything!! 🤣🤣,Twitter for iPhone,698,1184,11755,93,301500,Wed Apr 30 13:51:16 +0000 2025,en,167,True,1917319989746372854,1917319989746372854,4914384040,TheBabylonBee,"{""type"": ""user"", ""userName"": ""elonmusk"", ""url"": ""https://x.com/elonmusk"", ""twitterUrl"": ""https://twitter.com/elonmusk"", ""id"": ""44196397"", ""name"": ""Elon Musk"", ""isVerified"": false, ""isBlueVerified"": true, ""profilePicture"": ""https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg"", ""coverPicture"": ""https://pbs.twimg.com/profile_banners/44196397/1739948056"", ""description"": """", ""location"": """", ""followers"": 219952743, ""following"": 1115, ""status"": """", ""canDm"": false, ""canMediaTag"": false, ""createdAt"": ""Tue Jun 02 20:12:29 +0000 2009"", ""entities"": {""description"": {""urls"": []}, ""url"": {}}, ""fastFollowersCount"": 0, ""favouritesCount"": 143653, ""hasCustomTimelines"": true, ""isTranslator"": false, ""mediaCount"": 3813, ""statusesCount"": 77787, ""withheldInCountries"": [], ""affiliatesHighlightedLabel"": {}, ""possiblySensitive"": false, ""pinnedTweetIds"": [""1917099777327829386""], ""profile_bio"": {""description"": """", ""entities"": {""description"": {}}}, ""isAutomated"": false, ""automatedBy"": null}",{},,{},"{""user_mentions"": [{""id_str"": ""4914384040"", ""indices"": [0, 14], ""name"": ""The Babylon Bee"", ""screen_name"": ""TheBabylonBee""}]}",,
tweet,1917577343264055535,https://x.com/elonmusk/status/1917577343264055535,https://twitter.com/elonmusk/status/1917577343264055535,@QuoteNietzsche 🎯,Twitter for iPhone,78,133,1282,15,155343,Wed Apr 30 13:50:40 +0000 2025,qme,38,True,1917278481873842596,1917278481873842596,1393880743697391616,QuoteNietzsche,"{""type"": ""user"", ""userName"": ""elonmusk"", ""url"": ""https://x.com/elonmusk"", ""twitterUrl"": ""https://twitter.com/elonmusk"", ""id"": ""44196397"", ""name"": ""Elon Musk"", ""isVerified"": false, ""isBlueVerified"": true, ""profilePicture"": ""https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg"", ""coverPicture"": ""https://pbs.twimg.com/profile_banners/44196397/1739948056"", ""description"": """", ""location"": """", ""followers"": 219952743, ""following"": 1115, ""status"": """", ""canDm"": false, ""canMediaTag"": false, ""createdAt"": ""Tue Jun 02 20:12:29 +0000 2009"", ""entities"": {""description"": {""urls"": []}, ""url"": {}}, ""fastFollowersCount"": 0, ""favouritesCount"": 143653, ""hasCustomTimelines"": true, ""isTranslator"": false, ""mediaCount"": 3813, ""statusesCount"": 77787, ""withheldInCountries"": [], ""affiliatesHighlightedLabel"": {}, ""possiblySensitive"": false, ""pinnedTweetIds"": [""1917099777327829386""], ""profile_bio"": {""description"": """", ""entities"": {""description"": {}}}, ""isAutomated"": false, ""automatedBy"": null}",{},,{},"{""user_mentions"": [{""id_str"": ""1393880743697391616"", ""indices"": [0, 15], ""name"": ""Friedrich Nietzsche | Philosophy & Psychology 🧠"", ""screen_name"": ""QuoteNietzsche""}]}",,
tweet,1917491841550934193,https://x.com/elonmusk/status/1917491841550934193,https://twitter.com/elonmusk/status/1917491841550934193,@ZubyMusic True,Twitter for iPhone,65,173,1279,10,65377,Wed Apr 30 08:10:54 +0000 2025,en,15,True,1917488816379621485,1917488816379621485,57441414,ZubyMusic,"{""type"": ""user"", ""userName"": ""elonmusk"", ""url"": ""https://x.com/elonmusk"", ""twitterUrl"": ""https://twitter.com/elonmusk"", ""id"": ""44196397"", ""name"": ""Elon Musk"", ""isVerified"": false, ""isBlueVerified"": true, ""profilePicture"": ""https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg"", ""coverPicture"": ""https://pbs.twimg.com/profile_banners/44196397/1739948056"", ""description"": """", ""location"": """", ""followers"": 219952743, ""following"": 1115, ""status"": """", ""canDm"": false, ""canMediaTag"": false, ""createdAt"": ""Tue Jun 02 20:12:29 +0000 2009"", ""entities"": {""description"": {""urls"": []}, ""url"": {}}, ""fastFollowersCount"": 0, ""favouritesCount"": 143653, ""hasCustomTimelines"": true, ""isTranslator"": false, ""mediaCount"": 3813, ""statusesCount"": 77787, ""withheldInCountries"": [], ""affiliatesHighlightedLabel"": {}, ""possiblySensitive"": false, ""pinnedTweetIds"": [""1917099777327829386""], ""profile_bio"": {""description"": """", ""entities"": {""description"": {}}}, ""isAutomated"": false, ""automatedBy"": null}",{},,{},"{""user_mentions"": [{""id_str"": ""57441414"", ""indices"": [0, 10], ""name"": ""ZUBY:"", ""screen_name"": ""ZubyMusic""}]}",,
tweet,1917490517224333698,https://x.com/elonmusk/status/1917490517224333698,https://twitter.com/elonmusk/status/1917490517224333698,@Rothmus Yeah,Twitter for iPhone,84,162,1215,8,91936,Wed Apr 30 08:05:39 +0000 2025,en,26,True,1917401407776329788,1917401407776329788,294293982,Rothmus,"{""type"": ""user"", ""userName"": ""elonmusk"", ""url"": ""https://x.com/elonmusk"", ""twitterUrl"": ""https://twitter.com/elonmusk"", ""id"": ""44196397"", ""name"": ""Elon Musk"", ""isVerified"": false, ""isBlueVerified"": true, ""profilePicture"": ""https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg"", ""coverPicture"": ""https://pbs.twimg.com/profile_banners/44196397/1739948056"", ""description"": """", ""location"": """", ""followers"": 219952743, ""following"": 1115, ""status"": """", ""canDm"": false, ""canMediaTag"": false, ""createdAt"": ""Tue Jun 02 20:12:29 +0000 2009"", ""entities"": {""description"": {""urls"": []}, ""url"": {}}, ""fastFollowersCount"": 0, ""favouritesCount"": 143653, ""hasCustomTimelines"": true, ""isTranslator"": false, ""mediaCount"": 3813, ""statusesCount"": 77787, ""withheldInCountries"": [], ""affiliatesHighlightedLabel"": {}, ""possiblySensitive"": false, ""pinnedTweetIds"": [""1917099777327829386""], ""profile_bio"": {""description"": """", ""entities"": {""description"": {}}}, ""isAutomated"": false, ""automatedBy"": null}",{},,{},"{""user_mentions"": [{""id_str"": ""294293982"", ""indices"": [0, 8], ""name"": ""Rothmus 🏴"", ""screen_name"": ""Rothmus""}]}",,
tweet,1917448805894742132,https://x.com/elonmusk/status/1917448805894742132,https://twitter.com/elonmusk/status/1917448805894742132,@DonaldJTrumpJr Wow,Twitter for iPhone,200,258,2655,12,159082,Wed Apr 30 05:19:54 +0000 2025,und,40,True,1917368037390389293,1917368037390389293,39344374,DonaldJTrumpJr,"{""type"": ""user"", ""userName"": ""elonmusk"", ""url"": ""https://x.com/elonmusk"", ""twitterUrl"": ""https://twitter.com/elonmusk"", ""id"": ""44196397"", ""name"": ""Elon Musk"", ""isVerified"": false, ""isBlueVerified"": true, ""profilePicture"": ""https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg"", ""coverPicture"": ""https://pbs.twimg.com/profile_banners/44196397/1739948056"", ""description"": """", ""location"": """", ""followers"": 219952743, ""following"": 1115, ""status"": """", ""canDm"": false, ""canMediaTag"": false, ""createdAt"": ""Tue Jun 02 20:12:29 +0000 2009"", ""entities"": {""description"": {""urls"": []}, ""url"": {}}, ""fastFollowersCount"": 0, ""favouritesCount"": 143653, ""hasCustomTimelines"": true, ""isTranslator"": false, ""mediaCount"": 3813, ""statusesCount"": 77787, ""withheldInCountries"": [], ""affiliatesHighlightedLabel"": {}, ""possiblySensitive"": false, ""pinnedTweetIds"": [""1917099777327829386""], ""profile_bio"": {""description"": """", ""entities"": {""description"": {}}}, ""isAutomated"": false, ""automatedBy"": null}",{},,{},"{""user_mentions"": [{""id_str"": ""39344374"", ""indices"": [0, 15], ""name"": ""Donald Trump Jr."", ""screen_name"": ""DonaldJTrumpJr""}]}",,
